iter	Passed	Remaining
661	12155	6206
662	12168	6185
663	12178	6162
664	12194	6143
665	12210	6123
666	12225	6103
667	12246	6086
668	12267	6069
669	12283	6049
670	12296	6029
671	12307	6007
672	12324	5988
673	12340	5969
674	12353	5948
675	12363	5925
676	12373	5903
677	12387	5883
678	12401	5863
679	12415	5842
680	12426	5820
681	12438	5799
682	12450	5778
683	12462	5757
684	12478	5738
685	12497	5720
686	12512	5700
687	12525	5680
688	12536	5658
689	12548	5637
690	12560	5616
691	12572	5595
692	12589	5577
693	12601	5556
694	12614	5536
695	12626	5515
696	12638	5494
697	12651	5473
698	12664	5453
699	12674	5431
700	12693	5413
701	12710	5395
702	12722	5375
703	12736	5355
704	12756	5337
705	12779	5321
706	12791	5300
707	12803	5280
708	12815	5259
709	12833	5241
710	12844	5220
711	12853	5199
712	12863	5178
713	12878	5158
714	12891	5138
715	12906	5119
716	12917	5098
717	12929	5078
718	12944	5058
719	12961	5040
720	12982	5023
721	12995	5003
722	13004	4982
723	13018	4963
724	13037	4945
725	13049	4925
726	13070	4908
727	13085	4888
728	13105	4871
729	13121	4852
730	13136	4834
731	13155	4816
732	13173	4798
733	13192	4780
734	13214	4764
735	13232	4746
736	13248	4727
737	13271	4711
738	13292	4694
739	13310	4676
740	13333	4660
741	13354	4643
742	13379	4627
743	13402	4611
744	13422	4594
745	13440	4576
746	13455	4557
747	13477	4540
748	13497	4523
749	13518	4506
750	13536	4488
751	13552	4469
752	13571	4451
753	13583	4431
754	13595	4411
755	13616	4394
756	13630	4375
757	13646	4356
758	13664	4338
759	13679	4319
760	13694	4301
761	13712	4282
762	13730	4264
763	13745	4246
764	13761	4227
765	13771	4206
766	13790	4189
767	13804	4170
768	13818	4151
769	13828	4130
770	13844	4112
771	13863	4094
772	13874	4074
773	13888	4055
774	13912	4039
775	13923	4019
776	13936	3999
777	13949	3980
778	13967	3962
779	13987	3945
780	14006	3927
781	14022	3908
782	14035	3889
783	14047	3870
784	14059	3850
785	14069	3830
786	14081	3811
787	14094	3792
788	14106	3772
789	14119	3753
790	14131	3733
791	14150	3716
792	14166	3697
793	14187	3680
794	14202	3662
795	14216	3643
796	14230	3624
797	14242	3605
798	14256	3586
799	14268	3567
800	14284	3548
801	14295	3529
802	14304	3509
803	14321	3491
804	14340	3473
805	14353	3454
806	14371	3437
807	14382	3417
808	14397	3399
809	14408	3379
810	14421	3360
811	14431	3341
812	14444	3322
813	14458	3303
814	14469	3284
815	14482	3265
816	14493	3246
817	14503	3226
818	14513	3207
819	14524	3188
820	14543	3170
821	14553	3151
822	14569	3133
823	14580	3114
824	14594	3095
825	14612	3078
826	14624	3059
827	14640	3041
828	14654	3022
829	14664	3003
830	14681	2985
831	14696	2967
832	14707	2948
833	14723	2930
834	14735	2911
835	14749	2893
836	14762	2874
837	14779	2857
838	14794	2839
839	14807	2820
840	14824	2802
841	14838	2784
842	14859	2767
843	14877	2749
844	14894	2732
845	14904	2713
846	14917	2694
847	14929	2676
848	14940	2657
849	14957	2639
850	14974	2621
851	14985	2603
852	14995	2584
853	15010	2566
854	15023	2547
855	15033	2529
856	15046	2510
857	15056	2491
858	15067	2473
859	15078	2454
860	15089	2436
861	15105	2418
862	15120	2400
863	15131	2381
864	15144	2363
865	15159	2345
866	15174	2327
867	15188	2309
868	15202	2291
869	15218	2273
870	15237	2256
871	15252	2238
872	15264	2220
873	15274	2202
874	15285	2183
875	15296	2165
876	15313	2147
877	15326	2129
878	15337	2111
879	15354	2093
880	15374	2076
881	15392	2059
882	15407	2041
883	15421	2023
884	15435	2005
885	15445	1987
886	15457	1969
887	15472	1951
888	15488	1933
889	15505	1916
890	15521	1898
891	15532	1880
892	15547	1862
893	15559	1844
894	15576	1827
895	15587	1809
896	15614	1792
897	15635	1776
898	15654	1758
899	15669	1741
900	15680	1722
901	15691	1704
902	15703	1686
903	15716	1668
904	15727	1650
905	15739	1633
906	15760	1615
907	15776	1598
908	15793	1581
909	15804	1563
910	15817	1545
911	15837	1528
912	15850	1510
913	15866	1492
914	15891	1476
915	15916	1459
916	15929	1441
917	15947	1424
918	15961	1406
919	15974	1389
920	15987	1371
921	15999	1353
922	16012	1335
923	16036	1319
924	16054	1301
925	16065	1283
926	16080	1266
927	16094	1248
928	16109	1231
929	16121	1213
930	16135	1195
